FacilityName,Hours,TAT,Footfalls
Bliss Medical Centre Nanyuki,2pm,51.52,119.0
Bliss Medical Centre Nanyuki,3pm,42.67,110.0
Bliss Medical Centre Nanyuki,4pm,43.8,89.0
Bliss Medical Centre Nanyuki,5pm,34.78,81.0
Bliss Medical Centre Nanyuki,6pm,43.34,41.0
Bliss Medical Centre Nanyuki,7pm,64.06,18.0
Bliss Medical Centre Nanyuki,8pm,37.5,2.0
Bliss Medical Centre Nanyuki,9pm,0.0,0.0
Bliss Medical Centre Nanyuki,10pm,0.0,0.0
Bliss Medical Centre Nanyuki,11pm,0.0,0.0
Bliss Medical Centre Pipeline,12am,0.0,0.0
Bliss Medical Centre Pipeline,1am,0.0,0.0
Bliss Medical Centre Pipeline,2am,0.0,0.0
Bliss Medical Centre Pipeline,3am,0.0,0.0
Bliss Medical Centre Pipeline,4am,0.0,0.0
Bliss Medical Centre Pipeline,5am,0.0,0.0
Bliss Medical Centre Pipeline,6am,0.0,0.0
Bliss Medical Centre Pipeline,7am,0.0,0.0
Bliss Medical Centre Pipeline,8am,17.43,7.0
Bliss Medical Centre Pipeline,9am,29.71,28.0
Bliss Medical Centre Pipeline,10am,34.49,59.0
Bliss Medical Centre Pipeline,11am,47.66,61.0
Bliss Medical Centre Pipeline,12pm,51.37,90.0
Bliss Medical Centre Pipeline,1pm,55.67,75.0
Bliss Medical Centre Pipeline,2pm,59.06,86.0
Bliss Medical Centre Pipeline,3pm,64.38,89.0
Bliss Medical Centre Pipeline,4pm,60.51,88.0
Bliss Medical Centre Pipeline,5pm,54.84,91.0
Bliss Medical Centre Pipeline,6pm,44.81,70.0
Bliss Medical Centre Pipeline,7pm,54.22,73.0
Bliss Medical Centre Pipeline,8pm,30.6,5.0
Bliss Medical Centre Pipeline,9pm,0.0,0.0
Bliss Medical Centre Pipeline,10pm,0.0,0.0
Bliss Medical Centre Pipeline,11pm,0.0,0.0
Bliss Medical Centre Kerugoya,12am,0.0,0.0
Bliss Medical Centre Kerugoya,1am,0.0,0.0
Bliss Medical Centre Kerugoya,2am,0.0,0.0
Bliss Medical Centre Kerugoya,3am,0.0,0.0
Bliss Medical Centre Kerugoya,4am,0.0,0.0
Bliss Medical Centre Kerugoya,5am,0.0,0.0
Bliss Medical Centre Kerugoya,6am,0.0,0.0
Bliss Medical Centre Kerugoya,7am,0.0,0.0
Bliss Medical Centre Kerugoya,8am,0.0,0.0
Bliss Medical Centre Kerugoya,9am,26.05,19.0
Bliss Medical Centre Kerugoya,10am,36.21,58.0
Bliss Medical Centre Kerugoya,11am,44.63,89.0
Bliss Medical Centre Kerugoya,12pm,51.51,83.0
Bliss Medical Centre Kerugoya,1pm,63.7,70.0
Bliss Medical Centre Kerugoya,2pm,66.7,43.0
Bliss Medical Centre Kerugoya,3pm,59.8,74.0
Bliss Medical Centre Kerugoya,4pm,88.85,62.0
Bliss Medical Centre Kerugoya,5pm,57.35,62.0
Bliss Medical Centre Kerugoya,6pm,128.11,18.0
Bliss Medical Centre Kerugoya,7pm,0.0,0.0
Bliss Medical Centre Kerugoya,8pm,0.0,0.0
